"institution"	"rating"	"valid_through"	"URL"	"latest_report"	"purchasing"	"dining"
"Connecticut College"	"Gold"	"July 28, 2024"	"https://reports.aashe.org/institutions/connecticut-college-ct/report/"	"https://reports.aashe.org/institutions/connecticut-college-ct/report/2021-06-18/"	"https://reports.aashe.org/institutions/connecticut-college-ct/report/2021-06-18/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/connecticut-college-ct/report/2021-06-18/OP/food-dining/OP-8/"
"Dalhousie University"	"Gold"	"Sept. 14, 2024"	"https://reports.aashe.org/institutions/dalhousie-university-ns/report/"	"https://reports.aashe.org/institutions/dalhousie-university-ns/report/2021-07-21/"	"https://reports.aashe.org/institutions/dalhousie-university-ns/report/2021-07-21/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/dalhousie-university-ns/report/2021-07-21/OP/food-dining/OP-8/"
"Dawson College"	"Gold"	"Dec. 7, 2023"	"https://reports.aashe.org/institutions/dawson-college-qc/report/"	"https://reports.aashe.org/institutions/dawson-college-qc/report/"	"https://reports.aashe.org/institutions/dawson-college-qc/report/2020-09-07/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/dawson-college-qc/report/2020-09-07/OP/food-dining/OP-7/"
"Denison University"	"Gold"	"Feb. 27, 2022"	"https://reports.aashe.org/institutions/denison-university-oh/report/"	"https://reports.aashe.org/institutions/denison-university-oh/report/2019-02-28/"	"https://reports.aashe.org/institutions/denison-university-oh/report/2019-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/denison-university-oh/report/2019-02-28/OP/food-dining/OP-8/"
"Dickinson College"	"Gold"	"April 11, 2024"	"https://reports.aashe.org/institutions/dickinson-college-pa/report/"	"https://reports.aashe.org/institutions/dickinson-college-pa/report/2021-03-05/"	"https://reports.aashe.org/institutions/dickinson-college-pa/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/dickinson-college-pa/report/2021-03-05/OP/food-dining/OP-8/"
"Emerson College"	"Gold"	"Sept. 25, 2021"	"https://reports.aashe.org/institutions/emerson-college-ma/report/"	"https://reports.aashe.org/institutions/emerson-college-ma/report/2018-03-30/"	"https://reports.aashe.org/institutions/emerson-college-ma/report/2018-03-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/emerson-college-ma/report/2018-03-30/OP/food-dining/OP-8/"
"Emory University"	"Gold"	"April 20, 2024"	"https://reports.aashe.org/institutions/emory-university-ga/report/"	"https://reports.aashe.org/institutions/emory-university-ga/report/2021-03-05/"	"https://reports.aashe.org/institutions/emory-university-ga/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/emory-university-ga/report/2021-03-05/OP/food-dining/OP-8/"
"Fanshawe College"	"Gold"	"Nov. 29, 2021"	"https://reports.aashe.org/institutions/fanshawe-college-on/report/"	"https://reports.aashe.org/institutions/fanshawe-college-on/report/2018-11-30/"	"https://reports.aashe.org/institutions/fanshawe-college-on/report/2018-11-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/fanshawe-college-on/report/2018-11-30/OP/food-dining/OP-8/"
"Fleming College"	"Gold"	"Aug. 22, 2022"	"https://reports.aashe.org/institutions/fleming-college-on/report/"	"https://reports.aashe.org/institutions/fleming-college-on/report/2019-08-23/"	"https://reports.aashe.org/institutions/fleming-college-on/report/2019-08-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/fleming-college-on/report/2019-08-23/OP/food-dining/OP-8/"
"Florida Gulf Coast University"	"Gold"	"Dec. 4, 2023"	"https://reports.aashe.org/institutions/florida-gulf-coast-university-fl/report/"	"https://reports.aashe.org/institutions/florida-gulf-coast-university-fl/report/2020-07-23/"	"https://reports.aashe.org/institutions/florida-gulf-coast-university-fl/report/2020-07-23/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/florida-gulf-coast-university-fl/report/2020-07-23/OP/food-dining/OP-8/"
