"institution"	"state"	"long"	"lat"	"rating"	"URL"	"latest_report"	"purchasing"	"dining"
"Rochester Institute of Technology"	"NY"	-77.67386	43.084188	"Silver"	"https://reports.aashe.org/institutions/rochester-institute-of-technology-ny/report/"	"https://reports.aashe.org/institutions/rochester-institute-of-technology-ny/report/2018-03-30/"	"https://reports.aashe.org/institutions/rochester-institute-of-technology-ny/report/2018-03-30/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/rochester-institute-of-technology-ny/report/2018-03-30/OP/food-dining/OP-8/"
"Saint Louis University"	"MO"	-90.2351	38.636801	"Bronze"	"https://reports.aashe.org/institutions/saint-louis-university-mo/report/"	"https://reports.aashe.org/institutions/saint-louis-university-mo/report/2018-03-02/"	"https://reports.aashe.org/institutions/saint-louis-university-mo/report/2018-03-02/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/saint-louis-university-mo/report/2018-03-02/OP/food-dining/OP-8/"
"San Diego State University"	"CA"	-117.071228	32.77525	"Gold"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/2020-07-31/"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/2020-07-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/san-diego-state-university-ca/report/2020-07-31/OP/food-dining/OP-8/"
"San Francisco State University"	"CA"	-122.476799	37.721224	"Silver"	"https://reports.aashe.org/institutions/san-francisco-state-university-ca/report/"	"https://reports.aashe.org/institutions/san-francisco-state-university-ca/report/2018-06-08/"	"https://reports.aashe.org/institutions/san-francisco-state-university-ca/report/2018-06-08/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/san-francisco-state-university-ca/report/2018-06-08/OP/food-dining/OP-8/"
"San Jose State University"	"CA"	-121.880621	37.336569	"Gold"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/san-jose-state-university-ca/report/2020-03-06/OP/food-dining/OP-8/"
"Santa Clara University"	"CA"	-121.93784	37.348362	"Gold"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/santa-clara-university-ca/report/2020-02-27/OP/food-dining/OP-8/"
"Santa Rosa Junior College"	"CA"	-122.718974	38.45709	"Bronze"	"https://reports.aashe.org/institutions/santa-rosa-junior-college-ca/report/"	"https://reports.aashe.org/institutions/santa-rosa-junior-college-ca/report/"	"https://reports.aashe.org/institutions/santa-rosa-junior-college-ca/report/2019-02-28/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/santa-rosa-junior-college-ca/report/2019-02-28/OP/food-dining/OP-7/"
"Seattle Central College"	"WA"	-122.321231	47.616748	"Silver"	"https://reports.aashe.org/institutions/seattle-central-community-college-wa/report/"	"https://reports.aashe.org/institutions/seattle-central-community-college-wa/report/2021-03-31/"	"https://reports.aashe.org/institutions/seattle-central-community-college-wa/report/2021-03-31/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/seattle-central-community-college-wa/report/2021-03-31/OP/food-dining/OP-8/"
"Seattle University"	"WA"	-122.318851	47.608859	"Gold"	"https://reports.aashe.org/institutions/seattle-university-wa/report/"	"https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/"	"https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/seattle-university-wa/report/2021-03-05/OP/food-dining/OP-8/"
"Siena Heights University"	"MI"	-84.018841	41.905624	"Bronze"	"https://reports.aashe.org/institutions/siena-heights-university-mi/report/"	"https://reports.aashe.org/institutions/siena-heights-university-mi/report/"	"https://reports.aashe.org/institutions/siena-heights-university-mi/report/2019-06-17/OP/food-dining/OP-7/"	"https://reports.aashe.org/institutions/siena-heights-university-mi/report/2019-06-17/OP/food-dining/OP-7/"
